1.619999999999999929e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.590000000000000036e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.680000000000000071e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.590000000000000036e+01
1.590000000000000036e+01
1.569999999999999929e+01
1.580000000000000071e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.669999999999999929e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.689999999999999858e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.590000000000000036e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.660000000000000142e+01
1.580000000000000071e+01
1.580000000000000071e+01
1.600000000000000000e+01
1.559999999999999964e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.660000000000000142e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.680000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.680000000000000071e+01
1.639999999999999858e+01
1.689999999999999858e+01
1.700000000000000000e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.680000000000000071e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.660000000000000142e+01
1.680000000000000071e+01
1.689999999999999858e+01
1.680000000000000071e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.569999999999999929e+01
1.559999999999999964e+01
1.600000000000000000e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.590000000000000036e+01
1.559999999999999964e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.590000000000000036e+01
1.680000000000000071e+01
1.619999999999999929e+01
1.590000000000000036e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.580000000000000071e+01
1.580000000000000071e+01
1.600000000000000000e+01
1.569999999999999929e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.689999999999999858e+01
1.590000000000000036e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.660000000000000142e+01
1.680000000000000071e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.590000000000000036e+01
1.600000000000000000e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.669999999999999929e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.680000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.660000000000000142e+01
1.689999999999999858e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.689999999999999858e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.689999999999999858e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.660000000000000142e+01
1.590000000000000036e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.689999999999999858e+01
1.600000000000000000e+01
1.639999999999999858e+01
1.600000000000000000e+01
1.580000000000000071e+01
1.619999999999999929e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.569999999999999929e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.590000000000000036e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.689999999999999858e+01
1.710000000000000142e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.590000000000000036e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.580000000000000071e+01
1.580000000000000071e+01
1.600000000000000000e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.680000000000000071e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.600000000000000000e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.580000000000000071e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.580000000000000071e+01
1.569999999999999929e+01
1.600000000000000000e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.680000000000000071e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.619999999999999929e+01
1.580000000000000071e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.600000000000000000e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.700000000000000000e+01
1.660000000000000142e+01
1.590000000000000036e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.689999999999999858e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.700000000000000000e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.580000000000000071e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.600000000000000000e+01
1.600000000000000000e+01
1.559999999999999964e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.590000000000000036e+01
1.639999999999999858e+01
1.590000000000000036e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.600000000000000000e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.590000000000000036e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.689999999999999858e+01
1.660000000000000142e+01
1.580000000000000071e+01
1.600000000000000000e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.669999999999999929e+01
1.689999999999999858e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.569999999999999929e+01
1.600000000000000000e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.669999999999999929e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.689999999999999858e+01
1.689999999999999858e+01
1.710000000000000142e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.669999999999999929e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.680000000000000071e+01
1.600000000000000000e+01
1.580000000000000071e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.660000000000000142e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.689999999999999858e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.700000000000000000e+01
1.689999999999999858e+01
1.660000000000000142e+01
1.700000000000000000e+01
1.660000000000000142e+01
1.689999999999999858e+01
1.700000000000000000e+01
1.730000000000000071e+01
1.710000000000000142e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.689999999999999858e+01
1.700000000000000000e+01
1.680000000000000071e+01
1.730000000000000071e+01
1.710000000000000142e+01
1.710000000000000142e+01
1.719999999999999929e+01
1.680000000000000071e+01
1.639999999999999858e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.680000000000000071e+01
1.689999999999999858e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.660000000000000142e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.580000000000000071e+01
1.619999999999999929e+01
1.559999999999999964e+01
1.569999999999999929e+01
1.610000000000000142e+01
1.590000000000000036e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.650000000000000000e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.689999999999999858e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.580000000000000071e+01
1.619999999999999929e+01
1.569999999999999929e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.590000000000000036e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.600000000000000000e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.689999999999999858e+01
1.710000000000000142e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.580000000000000071e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.600000000000000000e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.590000000000000036e+01
1.580000000000000071e+01
1.590000000000000036e+01
1.590000000000000036e+01
1.590000000000000036e+01
1.559999999999999964e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.569999999999999929e+01
1.590000000000000036e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.580000000000000071e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.600000000000000000e+01
1.660000000000000142e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.660000000000000142e+01
1.660000000000000142e+01
1.710000000000000142e+01
1.650000000000000000e+01
1.590000000000000036e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.580000000000000071e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.680000000000000071e+01
1.700000000000000000e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.700000000000000000e+01
1.689999999999999858e+01
1.660000000000000142e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.590000000000000036e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.580000000000000071e+01
1.580000000000000071e+01
1.590000000000000036e+01
1.550000000000000000e+01
1.590000000000000036e+01
1.580000000000000071e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.569999999999999929e+01
1.619999999999999929e+01
1.580000000000000071e+01
1.590000000000000036e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.540000000000000036e+01
1.590000000000000036e+01
1.590000000000000036e+01
1.610000000000000142e+01
1.660000000000000142e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.710000000000000142e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.569999999999999929e+01
1.580000000000000071e+01
1.590000000000000036e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.700000000000000000e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.590000000000000036e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.580000000000000071e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.669999999999999929e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.660000000000000142e+01
1.650000000000000000e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.689999999999999858e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.590000000000000036e+01
1.619999999999999929e+01
1.669999999999999929e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.590000000000000036e+01
1.590000000000000036e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.590000000000000036e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.660000000000000142e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.669999999999999929e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.669999999999999929e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.540000000000000036e+01
1.540000000000000036e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.689999999999999858e+01
1.680000000000000071e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.600000000000000000e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.600000000000000000e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.660000000000000142e+01
1.669999999999999929e+01
1.710000000000000142e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.650000000000000000e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.689999999999999858e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.580000000000000071e+01
1.600000000000000000e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.610000000000000142e+01
1.590000000000000036e+01
1.569999999999999929e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.650000000000000000e+01
1.650000000000000000e+01
1.669999999999999929e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.600000000000000000e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.610000000000000142e+01
1.559999999999999964e+01
1.559999999999999964e+01
1.600000000000000000e+01
1.590000000000000036e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.689999999999999858e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.569999999999999929e+01
1.600000000000000000e+01
1.610000000000000142e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.590000000000000036e+01
1.630000000000000071e+01
1.580000000000000071e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.610000000000000142e+01
1.650000000000000000e+01
1.619999999999999929e+01
1.619999999999999929e+01
1.660000000000000142e+01
1.619999999999999929e+01
1.559999999999999964e+01
1.580000000000000071e+01
1.650000000000000000e+01
1.590000000000000036e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.660000000000000142e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.590000000000000036e+01
1.590000000000000036e+01
1.630000000000000071e+01
1.610000000000000142e+01
1.619999999999999929e+01
1.650000000000000000e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.619999999999999929e+01
1.630000000000000071e+01
1.639999999999999858e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.700000000000000000e+01
1.639999999999999858e+01
1.669999999999999929e+01
1.619999999999999929e+01
1.600000000000000000e+01
1.639999999999999858e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.639999999999999858e+01
1.650000000000000000e+01
1.580000000000000071e+01
1.580000000000000071e+01
1.569999999999999929e+01
1.580000000000000071e+01
1.580000000000000071e+01
1.559999999999999964e+01
1.590000000000000036e+01
1.580000000000000071e+01
1.590000000000000036e+01
1.639999999999999858e+01
1.610000000000000142e+01
1.580000000000000071e+01
1.590000000000000036e+01
1.610000000000000142e+01
1.590000000000000036e+01
1.580000000000000071e+01
1.610000000000000142e+01
1.630000000000000071e+01
1.619999999999999929e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.680000000000000071e+01
1.680000000000000071e+01
1.669999999999999929e+01
1.689999999999999858e+01
1.700000000000000000e+01
